Land_Area_acres,Temperature_C,Humidity_pct,Rainfall_mm,WindSpeed_kmph,Soil_Type,Crop_Type,Crop_Stage,Season,Water_Required_Litres
6.65,27.1,50.2,0.0,25.0,Clay,Wheat,Harvest,Summer,108.2
5.74,24.8,57.4,15.1,22.4,Loamy,Rice,Flowering,Winter,309.2
7.84,20.3,72.3,4.9,21.8,Clay,Wheat,Harvest,Winter,109.7
5.62,25.4,37.4,16.8,11.3,Silty,Wheat,Growth,Winter,125.9
5.93,38.2,37.9,1.2,27.4,Clay,Sugarcane,Growth,Summer,291.4
5.21,40.1,77.3,19.8,10.0,Sandy,Sugarcane,Seedling,Summer,302.9
5.5,27.8,50.8,19.6,2.2,Silty,Maize,Harvest,Winter,105.4
6.67,15.4,67.8,0.0,11.4,Silty,Sugarcane,Seedling,Winter,266.1
6.37,27.3,25.2,18.3,13.0,Sandy,Rice,Harvest,Summer,269.9
2.08,24.9,53.8,3.6,23.9,Silty,Maize,Flowering,Winter,77.5
4.59,28.7,46.2,6.3,2.4,Clay,Cotton,Growth,Summer,112.1
5.23,27.1,75.4,27.0,7.6,Silty,Rice,Harvest,Monsoon,126.5
9.06,28.1,63.3,42.3,9.0,Clay,Maize,Harvest,Monsoon,136.0
8.53,30.0,79.4,4.9,3.2,Clay,Cotton,Flowering,Summer,251.6
5.96,26.1,100.0,16.5,17.0,Sandy,Cotton,Harvest,Monsoon,145.2
8.41,21.6,51.7,0.0,24.1,Loamy,Wheat,Flowering,Winter,296.2
6.94,30.8,42.5,22.4,18.8,Sandy,Maize,Harvest,Monsoon,212.9
0.82,26.7,49.3,1.5,8.9,Clay,Wheat,Growth,Winter,15.0
1.76,33.4,55.0,13.6,4.9,Clay,Maize,Flowering,Monsoon,43.9
8.14,25.0,58.0,4.0,29.0,Clay,Cotton,Flowering,Winter,251.1
1.36,31.2,51.6,0.0,20.2,Clay,Maize,Seedling,Winter,37.7
6.91,27.1,80.8,7.6,16.8,Loamy,Rice,Harvest,Winter,225.5
9.14,23.5,44.0,7.1,29.9,Sandy,Rice,Growth,Winter,583.1
8.93,35.4,38.9,10.0,28.5,Clay,Cotton,Growth,Summer,243.0
8.91,34.7,75.1,3.5,1.0,Silty,Wheat,Harvest,Monsoon,164.3
4.72,41.7,54.2,2.1,20.6,Silty,Rice,Harvest,Summer,166.5
3.12,43.8,41.2,9.6,19.2,Sandy,Rice,Flowering,Summer,279.9
2.81,36.9,52.3,0.0,24.9,Loamy,Cotton,Growth,Summer,123.7
8.22,33.7,57.5,5.5,25.8,Loamy,Wheat,Flowering,Summer,304.8
8.09,34.8,48.2,3.4,0.4,Loamy,Cotton,Flowering,Summer,345.1
0.65,32.8,58.0,0.0,14.3,Silty,Cotton,Seedling,Winter,23.3
4.79,33.6,54.2,4.2,23.5,Silty,Sugarcane,Seedling,Summer,213.9
1.08,28.0,37.1,14.8,13.3,Sandy,Maize,Growth,Winter,28.2
1.12,30.0,35.9,0.0,21.4,Clay,Cotton,Flowering,Winter,50.0
4.81,22.0,76.3,28.8,26.3,Loamy,Sugarcane,Harvest,Monsoon,156.4
8.94,29.8,41.3,12.5,12.5,Sandy,Maize,Harvest,Winter,293.1
3.47,23.0,56.1,7.6,25.0,Sandy,Sugarcane,Seedling,Winter,198.2
7.57,24.1,57.2,0.0,17.6,Silty,Rice,Harvest,Winter,234.8
3.86,34.9,59.3,22.2,8.6,Silty,Maize,Seedling,Monsoon,82.9
5.99,34.2,59.7,12.6,25.4,Silty,Cotton,Flowering,Summer,220.5
1.59,16.9,37.8,17.2,24.6,Sandy,Cotton,Flowering,Winter,24.4
0.78,15.0,46.2,0.0,10.2,Sandy,Wheat,Growth,Winter,5.0
5.88,32.4,60.4,8.5,15.9,Clay,Sugarcane,Harvest,Winter,181.7
3.74,24.6,45.0,11.6,28.2,Sandy,Rice,Growth,Winter,222.8
2.0,32.0,66.9,12.1,18.2,Clay,Maize,Growth,Monsoon,44.7
7.67,36.8,45.9,8.2,20.3,Clay,Cotton,Flowering,Summer,251.2
0.93,26.7,49.5,10.4,23.0,Silty,Maize,Flowering,Winter,23.0
1.64,36.6,49.8,0.0,11.4,Loamy,Cotton,Flowering,Winter,91.7
1.18,30.9,65.8,34.0,17.3,Clay,Sugarcane,Flowering,Monsoon,12.4
1.59,30.3,59.0,4.0,28.4,Clay,Maize,Seedling,Summer,38.2
4.65,35.3,70.0,0.0,9.3,Silty,Wheat,Flowering,Summer,158.5
7.9,34.2,42.6,4.7,15.3,Silty,Maize,Growth,Summer,276.1
2.74,34.9,59.3,12.7,2.3,Clay,Sugarcane,Harvest,Summer,78.1
6.97,36.9,37.6,1.6,9.7,Silty,Wheat,Harvest,Monsoon,144.8
1.15,19.0,30.3,0.0,2.2,Clay,Sugarcane,Seedling,Winter,33.6
1.04,22.5,76.6,12.4,25.7,Clay,Sugarcane,Seedling,Winter,16.4
4.77,27.5,54.2,15.5,1.9,Sandy,Maize,Seedling,Monsoon,151.1
5.29,35.4,72.8,8.1,29.7,Loamy,Maize,Flowering,Summer,240.4
9.22,21.2,57.4,0.0,19.4,Sandy,Maize,Seedling,Winter,348.3
5.8,19.9,44.9,17.5,19.7,Loamy,Maize,Seedling,Winter,142.2
6.04,38.7,43.5,0.0,3.9,Sandy,Maize,Harvest,Summer,226.1
6.61,18.9,58.6,0.0,24.9,Sandy,Sugarcane,Flowering,Winter,598.1
0.67,26.5,59.4,13.7,6.8,Loamy,Wheat,Seedling,Winter,5.0
3.31,33.1,31.3,4.5,22.2,Sandy,Maize,Growth,Summer,183.0
6.17,39.9,74.1,6.9,5.0,Clay,Rice,Harvest,Summer,162.1
3.96,21.0,66.3,28.6,8.5,Clay,Wheat,Growth,Monsoon,35.3
3.44,27.7,44.4,0.5,13.2,Silty,Sugarcane,Harvest,Winter,132.1
9.68,29.1,52.6,0.9,7.5,Clay,Maize,Seedling,Summer,217.4
7.26,32.4,55.1,20.5,27.2,Loamy,Sugarcane,Seedling,Monsoon,332.0
9.49,31.0,62.7,0.0,27.9,Clay,Rice,Harvest,Summer,254.8
5.27,33.4,54.1,6.1,3.0,Silty,Wheat,Growth,Summer,138.4
0.86,29.3,47.3,0.9,21.2,Clay,Cotton,Seedling,Winter,23.3
9.11,34.6,78.5,0.0,15.8,Sandy,Maize,Growth,Summer,451.5
3.36,32.6,51.6,16.4,18.7,Sandy,Rice,Harvest,Summer,138.7
6.17,30.6,35.5,3.7,0.0,Silty,Wheat,Harvest,Summer,116.8
2.28,25.9,99.9,31.1,2.0,Sandy,Sugarcane,Harvest,Monsoon,48.8
0.91,28.8,48.6,19.0,10.3,Sandy,Cotton,Flowering,Winter,5.0
1.77,25.9,23.7,0.8,5.3,Clay,Sugarcane,Growth,Winter,82.3
8.21,32.5,20.0,10.2,23.7,Sandy,Maize,Flowering,Summer,496.6
5.4,30.8,61.0,20.4,19.4,Silty,Maize,Seedling,Monsoon,124.3
8.73,23.7,76.6,0.0,13.2,Clay,Maize,Growth,Winter,233.1
5.21,27.0,32.0,15.6,8.0,Sandy,Sugarcane,Seedling,Winter,301.3
4.59,30.8,46.3,15.3,9.2,Clay,Wheat,Harvest,Summer,61.9
3.84,38.5,45.2,0.0,18.4,Clay,Maize,Seedling,Summer,103.3
1.21,25.0,75.0,20.0,0.9,Clay,Rice,Growth,Monsoon,5.0
1.14,27.0,55.2,25.9,17.0,Loamy,Sugarcane,Flowering,Monsoon,26.6
4.03,29.5,41.7,0.0,7.5,Sandy,Rice,Growth,Summer,269.8
5.24,29.3,56.4,2.9,23.2,Clay,Wheat,Flowering,Winter,143.7
7.09,25.8,57.7,9.4,21.4,Sandy,Maize,Flowering,Winter,387.2
7.24,31.4,34.5,15.6,25.5,Loamy,Maize,Growth,Monsoon,265.2
1.65,36.0,39.4,0.0,17.2,Clay,Cotton,Growth,Summer,61.9
6.31,35.2,63.8,8.2,21.5,Clay,Cotton,Harvest,Summer,116.4
7.81,42.0,83.0,14.5,20.4,Silty,Wheat,Growth,Monsoon,206.3
7.79,30.7,20.0,12.2,1.7,Sandy,Cotton,Growth,Summer,344.4
3.39,31.5,71.2,0.0,26.8,Sandy,Maize,Growth,Summer,175.6
6.53,39.8,61.8,31.1,18.4,Sandy,Cotton,Growth,Monsoon,255.6
6.12,34.2,83.1,18.0,25.3,Sandy,Rice,Seedling,Monsoon,292.7
0.93,23.3,66.5,13.8,6.3,Clay,Cotton,Seedling,Monsoon,5.0
5.23,23.1,58.9,18.1,24.2,Clay,Maize,Harvest,Monsoon,83.1
1.19,38.5,58.5,11.9,13.9,Silty,Cotton,Growth,Summer,36.7
3.47,23.7,100.0,15.4,22.8,Sandy,Maize,Growth,Monsoon,105.6
4.93,29.2,42.1,6.4,1.5,Clay,Cotton,Harvest,Winter,85.8
2.86,39.5,20.0,4.1,4.8,Clay,Sugarcane,Flowering,Summer,177.9
5.23,31.8,66.8,1.8,29.0,Loamy,Cotton,Flowering,Summer,229.4
0.96,15.0,51.0,0.0,16.1,Sandy,Sugarcane,Growth,Winter,45.8
8.88,25.4,54.9,26.1,1.4,Sandy,Cotton,Growth,Monsoon,329.4
3.94,30.3,57.9,5.6,29.7,Sandy,Wheat,Seedling,Winter,125.2
4.24,21.0,36.6,2.3,4.3,Clay,Cotton,Seedling,Winter,80.3
0.93,33.0,23.6,0.5,26.8,Loamy,Maize,Flowering,Summer,76.7
2.04,29.7,64.2,13.3,10.1,Clay,Cotton,Flowering,Monsoon,41.6
5.01,29.9,66.5,15.5,23.9,Sandy,Cotton,Harvest,Summer,138.9
3.02,29.2,70.3,6.5,17.3,Sandy,Cotton,Harvest,Monsoon,84.6
2.12,28.4,39.5,9.2,7.3,Sandy,Wheat,Seedling,Monsoon,53.8
4.69,31.3,63.3,15.0,12.3,Clay,Rice,Growth,Winter,158.2
5.43,26.7,84.7,13.1,5.2,Silty,Cotton,Flowering,Monsoon,160.5
6.92,29.3,53.6,6.9,7.9,Clay,Wheat,Growth,Monsoon,147.2
3.15,27.1,89.8,3.1,6.2,Clay,Maize,Harvest,Winter,49.3
3.81,33.9,63.9,24.0,20.3,Clay,Sugarcane,Flowering,Monsoon,178.0
9.57,34.0,62.0,3.4,13.3,Silty,Sugarcane,Growth,Summer,520.1
2.42,25.5,62.4,30.2,8.1,Sandy,Cotton,Growth,Monsoon,26.6
2.8,33.0,59.0,20.4,9.9,Clay,Rice,Growth,Monsoon,83.0
0.55,32.3,73.7,19.4,19.6,Clay,Sugarcane,Growth,Monsoon,5.0
7.68,21.9,69.5,7.9,17.2,Sandy,Wheat,Harvest,Winter,182.7
8.88,33.8,53.7,4.1,25.1,Clay,Wheat,Flowering,Summer,249.9
8.83,33.0,69.4,11.5,13.6,Clay,Wheat,Harvest,Summer,130.9
3.09,33.0,38.2,16.3,19.4,Loamy,Rice,Flowering,Summer,174.7
8.01,28.5,56.3,11.2,12.2,Clay,Cotton,Flowering,Monsoon,234.7
1.32,25.4,100.0,32.8,14.3,Loamy,Rice,Flowering,Monsoon,5.0
4.14,25.3,20.0,0.9,0.3,Silty,Wheat,Seedling,Winter,90.2
6.84,32.6,44.7,12.6,15.1,Silty,Rice,Flowering,Winter,360.9
3.99,35.5,57.9,12.6,18.2,Clay,Cotton,Harvest,Summer,70.3
7.69,36.8,76.6,7.9,20.4,Sandy,Cotton,Harvest,Monsoon,244.0
5.52,30.7,59.1,14.3,15.2,Loamy,Wheat,Flowering,Winter,174.3
8.62,27.4,57.6,8.6,17.5,Sandy,Cotton,Harvest,Winter,260.9
8.18,28.5,61.5,0.0,20.2,Silty,Rice,Harvest,Winter,259.2
2.92,32.5,49.5,0.0,1.4,Silty,Rice,Seedling,Summer,109.4
9.38,40.6,48.5,3.8,4.1,Clay,Maize,Harvest,Summer,193.6
4.76,28.1,33.9,13.5,19.9,Loamy,Maize,Seedling,Winter,133.4
2.2,28.0,69.9,35.0,22.7,Silty,Sugarcane,Harvest,Monsoon,43.1
5.55,33.7,50.2,12.4,8.3,Sandy,Rice,Harvest,Summer,242.7
6.34,35.1,55.6,0.0,20.2,Sandy,Wheat,Seedling,Summer,216.6
4.32,32.0,25.6,1.7,23.3,Loamy,Cotton,Flowering,Summer,208.3
2.72,24.2,55.9,22.1,7.1,Loamy,Cotton,Growth,Monsoon,45.0
4.43,15.9,83.9,12.3,26.4,Loamy,Sugarcane,Harvest,Winter,150.6
0.95,32.0,42.0,6.6,12.5,Loamy,Maize,Harvest,Winter,26.0
2.25,25.7,36.2,22.6,9.0,Loamy,Sugarcane,Seedling,Monsoon,76.6
5.84,22.5,47.2,5.2,19.4,Clay,Maize,Seedling,Winter,123.3
5.59,38.4,63.8,7.5,18.1,Sandy,Rice,Growth,Summer,372.2
8.14,29.0,46.1,4.0,10.0,Sandy,Wheat,Growth,Monsoon,314.0
9.64,36.3,49.5,0.0,27.4,Loamy,Sugarcane,Growth,Summer,604.9
5.74,20.5,62.6,1.1,15.4,Clay,Sugarcane,Seedling,Winter,195.6
8.13,33.0,36.8,22.9,27.4,Silty,Maize,Harvest,Monsoon,181.8
0.93,35.0,47.3,0.0,21.6,Silty,Wheat,Growth,Summer,44.8
3.63,22.8,39.8,2.4,16.5,Silty,Maize,Harvest,Winter,81.7
9.68,29.6,48.4,19.2,4.2,Clay,Wheat,Seedling,Monsoon,154.7
5.48,30.4,71.0,1.0,22.9,Clay,Wheat,Growth,Summer,124.8
1.15,40.9,51.0,0.0,20.0,Clay,Sugarcane,Seedling,Summer,60.2
0.56,35.0,62.7,20.8,21.7,Silty,Rice,Harvest,Monsoon,5.0
8.16,36.8,54.2,8.1,15.8,Silty,Maize,Harvest,Summer,196.1
1.25,27.6,39.2,6.5,20.9,Silty,Rice,Seedling,Winter,43.8
1.39,20.9,61.9,0.0,2.5,Clay,Maize,Seedling,Winter,18.2
9.0,29.1,54.1,22.1,20.8,Clay,Maize,Seedling,Summer,182.8
9.28,39.6,50.5,18.1,27.9,Silty,Rice,Growth,Monsoon,417.9
6.08,29.5,79.9,3.4,9.0,Loamy,Cotton,Harvest,Monsoon,138.8
6.93,25.9,86.9,35.2,21.7,Silty,Rice,Seedling,Monsoon,195.1
4.65,45.0,36.2,16.5,28.6,Clay,Maize,Seedling,Summer,116.7
6.52,20.3,50.8,12.9,20.4,Clay,Rice,Flowering,Winter,263.9
8.08,28.1,75.6,22.8,11.4,Loamy,Sugarcane,Flowering,Monsoon,522.5
3.93,39.3,50.4,1.0,4.0,Loamy,Sugarcane,Harvest,Summer,178.1
5.79,33.1,62.1,21.0,10.6,Sandy,Cotton,Flowering,Monsoon,267.6
8.71,33.7,64.3,19.8,27.2,Loamy,Cotton,Growth,Summer,284.5
7.01,40.5,58.2,10.2,14.8,Sandy,Wheat,Harvest,Summer,197.5
3.12,23.0,50.6,4.9,18.8,Loamy,Sugarcane,Seedling,Winter,138.8
1.79,38.8,62.8,2.7,18.6,Silty,Sugarcane,Flowering,Summer,134.3
4.59,32.7,63.7,11.7,6.0,Silty,Wheat,Harvest,Monsoon,75.3
9.7,36.0,48.0,0.0,29.0,Loamy,Maize,Harvest,Winter,273.7
3.16,17.3,76.1,13.5,5.4,Sandy,Sugarcane,Growth,Winter,171.8
4.67,41.3,52.8,2.4,25.4,Clay,Sugarcane,Growth,Winter,232.5
6.52,35.0,58.7,0.0,13.5,Clay,Cotton,Harvest,Summer,126.8
5.58,32.3,61.4,21.1,29.1,Sandy,Rice,Growth,Monsoon,332.3
6.75,28.5,67.9,0.0,19.4,Silty,Sugarcane,Seedling,Winter,291.3
0.6,22.2,54.4,18.1,16.7,Loamy,Sugarcane,Flowering,Winter,5.0
4.22,25.0,55.7,19.0,3.1,Clay,Rice,Seedling,Monsoon,99.6
8.4,30.9,73.2,25.4,13.7,Loamy,Cotton,Harvest,Monsoon,173.4
3.81,27.9,58.8,2.2,24.3,Sandy,Rice,Flowering,Summer,297.9
6.66,33.8,75.7,2.5,22.2,Loamy,Cotton,Growth,Monsoon,237.0
3.64,28.5,47.2,0.8,19.2,Clay,Sugarcane,Seedling,Winter,134.8
7.51,36.8,34.9,7.6,0.1,Loamy,Wheat,Flowering,Summer,277.6
7.65,27.1,37.4,0.0,5.9,Sandy,Maize,Harvest,Summer,263.0
5.51,28.9,59.2,27.3,11.8,Sandy,Maize,Flowering,Monsoon,245.7
8.53,33.5,84.8,25.6,17.7,Loamy,Maize,Seedling,Monsoon,220.6
2.77,24.4,59.4,16.2,15.3,Clay,Cotton,Growth,Summer,45.4
5.96,27.8,69.6,1.0,30.0,Loamy,Sugarcane,Flowering,Winter,430.3
1.83,18.3,61.4,0.0,26.0,Sandy,Sugarcane,Growth,Winter,123.3
2.35,30.8,46.0,0.0,12.5,Clay,Sugarcane,Growth,Winter,112.8
1.29,35.2,53.0,0.0,1.0,Loamy,Cotton,Flowering,Summer,65.8
2.1,17.1,39.7,0.0,17.2,Silty,Cotton,Flowering,Winter,65.3
5.65,35.2,51.0,0.0,6.6,Clay,Rice,Growth,Summer,221.9
3.33,30.6,54.3,8.5,29.8,Loamy,Wheat,Flowering,Summer,118.8
8.68,25.1,58.9,16.4,4.2,Loamy,Wheat,Seedling,Monsoon,175.7
5.92,28.8,83.3,14.4,8.7,Silty,Cotton,Seedling,Monsoon,122.3
1.79,32.0,90.9,0.0,26.0,Loamy,Wheat,Growth,Winter,54.3
1.89,29.0,27.6,0.9,17.3,Silty,Sugarcane,Harvest,Winter,80.3
4.79,24.8,72.1,6.8,12.1,Silty,Maize,Harvest,Monsoon,97.1
9.53,16.2,35.1,7.0,29.2,Silty,Rice,Harvest,Winter,287.8
2.57,23.2,57.9,0.0,9.7,Silty,Maize,Growth,Winter,76.0
5.88,27.5,20.0,5.2,18.8,Clay,Rice,Seedling,Winter,180.6
9.33,33.5,49.5,5.1,28.7,Loamy,Wheat,Flowering,Summer,350.7
2.01,28.9,57.8,15.3,19.5,Sandy,Sugarcane,Flowering,Winter,152.1
7.4,38.7,44.1,6.5,2.9,Loamy,Sugarcane,Seedling,Summer,362.8
1.76,29.6,48.0,12.3,3.6,Clay,Wheat,Harvest,Summer,17.0
1.17,25.2,73.0,12.7,3.1,Silty,Maize,Growth,Winter,5.0
4.14,30.3,32.5,14.4,18.3,Loamy,Sugarcane,Flowering,Summer,287.1
7.36,32.7,64.6,2.0,18.5,Clay,Wheat,Seedling,Monsoon,135.6
9.02,35.1,30.0,0.0,9.4,Loamy,Wheat,Flowering,Summer,352.2
6.62,43.6,30.8,1.4,18.2,Sandy,Maize,Growth,Summer,376.6
5.42,31.9,78.9,11.5,23.8,Loamy,Sugarcane,Harvest,Monsoon,216.0
1.57,18.0,46.3,2.7,26.7,Sandy,Maize,Flowering,Winter,70.0
1.75,24.5,74.0,24.2,29.6,Sandy,Rice,Seedling,Monsoon,39.7
0.63,40.0,55.1,5.7,23.7,Silty,Cotton,Harvest,Summer,26.2
4.52,30.4,59.2,0.2,9.3,Loamy,Wheat,Flowering,Winter,164.4
4.21,27.3,66.8,8.5,19.3,Silty,Sugarcane,Growth,Monsoon,211.3
1.05,37.2,46.6,3.0,20.0,Loamy,Rice,Seedling,Summer,58.3
7.23,28.9,82.5,20.7,10.4,Silty,Wheat,Flowering,Monsoon,183.2
1.71,24.7,42.5,10.8,12.9,Sandy,Maize,Seedling,Winter,45.3
5.21,27.3,53.7,27.2,17.0,Silty,Wheat,Flowering,Monsoon,117.7
7.85,28.9,58.4,20.0,25.8,Sandy,Wheat,Seedling,Monsoon,215.1
4.98,24.6,58.3,2.6,28.8,Sandy,Cotton,Harvest,Winter,154.6
